,N_cf,N_cs,N_uf,N_us,N_f,N_s,Tarantula,Zoltar,Sokal,Fossum
82,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
83,9,190,0,1,9,191,0.5013123359580053,0.04522613065326633,0.09523809523809523,9.036292573981017
84,9,187,0,4,9,191,0.5052910052910053,0.04591836734693878,0.12206572769953052,9.174603174603174
85,0,0,9,191,9,191,,,0.9769820971867008,inf
86,0,0,9,191,9,191,,,0.9769820971867008,inf
89,9,187,0,4,9,191,0.5052910052910053,0.04591836734693878,0.12206572769953052,9.174603174603174
91,9,187,0,4,9,191,0.5052910052910053,0.04591836734693878,0.12206572769953052,9.174603174603174
92,9,190,0,1,9,191,0.5013123359580053,0.04522613065326633,0.09523809523809523,9.036292573981017
94,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
95,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
96,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
97,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
98,0,0,9,191,9,191,,,0.9769820971867008,inf
99,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
100,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
101,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
102,0,0,9,191,9,191,,,0.9769820971867008,inf
103,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
104,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
105,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
106,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
107,9,171,0,20,9,191,0.5276243093922651,0.05,0.25327510917030566,9.990123456790123
108,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
109,6,80,3,111,9,191,0.6141479099678457,1.499666324242856e-05,0.7381703470031545,8.75452196382429
110,0,18,9,173,9,191,0.0,0.0,0.9276139410187667,0.345679012345679
111,6,80,3,111,9,191,0.6141479099678457,1.499666324242856e-05,0.7381703470031545,8.75452196382429
112,6,80,3,111,9,191,0.6141479099678457,1.499666324242856e-05,0.7381703470031545,8.75452196382429
113,6,80,3,111,9,191,0.6141479099678457,1.499666324242856e-05,0.7381703470031545,8.75452196382429
114,6,80,3,111,9,191,0.6141479099678457,1.499666324242856e-05,0.7381703470031545,8.75452196382429
116,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
117,6,80,3,111,9,191,0.6141479099678457,1.499666324242856e-05,0.7381703470031545,8.75452196382429
118,3,69,6,122,9,191,0.47989949748743715,2.173790177076948e-06,0.7692307692307693,2.1604938271604937
119,3,69,6,122,9,191,0.47989949748743715,2.173790177076948e-06,0.7692307692307693,2.1604938271604937
121,6,80,3,111,9,191,0.6141479099678457,1.499666324242856e-05,0.7381703470031545,8.75452196382429
122,0,0,9,191,9,191,,,0.9769820971867008,inf
123,0,0,9,191,9,191,,,0.9769820971867008,inf
125,6,80,3,111,9,191,0.6141479099678457,1.499666324242856e-05,0.7381703470031545,8.75452196382429
126,6,80,3,111,9,191,0.6141479099678457,1.499666324242856e-05,0.7381703470031545,8.75452196382429
127,6,80,3,111,9,191,0.6141479099678457,1.499666324242856e-05,0.7381703470031545,8.75452196382429
129,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
130,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
131,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
133,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
134,0,0,9,191,9,191,,,0.9769820971867008,inf
135,0,0,9,191,9,191,,,0.9769820971867008,inf
136,0,0,9,191,9,191,,,0.9769820971867008,inf
137,0,0,9,191,9,191,,,0.9769820971867008,inf
138,0,0,9,191,9,191,,,0.9769820971867008,inf
139,0,0,9,191,9,191,,,0.9769820971867008,inf
140,0,0,9,191,9,191,,,0.9769820971867008,inf
141,0,0,9,191,9,191,,,0.9769820971867008,inf
142,0,0,9,191,9,191,,,0.9769820971867008,inf
144,0,0,9,191,9,191,,,0.9769820971867008,inf
145,0,0,9,191,9,191,,,0.9769820971867008,inf
147,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
148,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
149,9,171,0,20,9,191,0.5276243093922651,0.05,0.25327510917030566,9.990123456790123
150,0,0,9,191,9,191,,,0.9769820971867008,inf
151,0,0,9,191,9,191,,,0.9769820971867008,inf
153,9,171,0,20,9,191,0.5276243093922651,0.05,0.25327510917030566,9.990123456790123
154,9,171,0,20,9,191,0.5276243093922651,0.05,0.25327510917030566,9.990123456790123
